IMP1,VTP1,IMP2,VTP2,IMP3,BSAA,BSBA,BSCA,PYEA,BSFA,BSGA,PLHA,PRHA,PTHA,PFNA,PLNA,BSPA,BSSA,BSTA,PSTA,BSWA,PLBB,PRBB,RCCB,PLCB,PRCB,PLFB,PRFB,PKAC,RPAC,PACC,PMPC,PPRC,RCHD,RPHD,PUND,PSPD,PGHE,PPOE,PBRE,PEYE,TRAF,PPBF,PSTG,PBSH,PLSH,PRSH,RATH,PCTH,PLTH,PRTH,RIWH,PAGI,PRSI,PINJ,PBAK,PTAK,PPBK,PRBK,PNEK,PFLK,PFMK,RCRK,PTRK,PBTK,PTAL,PIBL,PLEL,PREL,PLKL,PSPL,PLSL,RCCM,PHLM,PHAN,PTEN,PLKN,PRKN,PLSO,RPGP,PTHP,PJMP,PTYP,PCAR,PSAR,PTAR,RICR,PJER,PLKR,RCPR,PKPR,PSPR,PLSR,PRTR,PSTR,POVR,PAWR,PLWR,PRWR,PRAS,PPBS,PRBS,PDIS,PVIS,RELS,PRNS,PPOS,PPRS,PYRS,BSAT,STAT,BSBT,SPCT,BSCT,BSFT,PHGT,BSGT,PWGT,PHIT,BSPT,PKRT,BSST,BSTT,BSWT,PBCV,PMCV,PZCV,PFMV,PJMV,PPMV,PSMV,RCOV,PESV,PBFW,PLHW,PLTW
10,0,13,0,4,4,2,8,0,0,3,3,3,29,Tana,Stevens,3,3,2,75,0,0,0,4,0,0,0,0,39,0,90,0,44,2362,0,0,62,176,44,0,0,66,76,0,53,4,4,1,63,2,2,0,60,194,80,0,39,76,74,0,0,20,161,76,64,0,69,0,0,1,0,0,0,5,0,1,2,2,1,18,39,50,0,60,55,0,0,0,1,38,39,0,0,74,83,69,77,14,14,0,75,74,3,0,25,1,5,50,36,21,9,21,57,8,20,78,16,107,48,0,40,10,16,0,56,46,47,43,45,42,59,69,59,74,0,0
5,0,12,0,5,6,10,7,0,10,6,3,3,40,Mason,Adams,2,10,10,77,0,0,0,3,0,0,0,0,40,0,85,0,57,10784,0,0,79,160,40,0,0,50,37,0,70,3,3,0,70,1,1,0,84,195,84,1,70,40,40,0,0,5,865,25,40,0,41,0,0,0,0,0,0,5,0,1,1,1,1,14,40,82,0,54,30,0,0,0,0,25,40,0,0,56,68,64,52,0,0,0,37,27,3,3,52,1,18,69,76,0,42,6,52,29,0,74,0,25,70,5,66,10,10,0,56,58,69,53,29,53,25,68,49,27,0,1
8,0,0,0,8,6,10,7,0,10,6,3,3,40,Lloyd,Amaewhule,1,10,10,81,0,0,0,2,0,0,0,0,40,0,69,0,36,1065,1,0,79,164,70,0,0,46,29,1,36,3,3,0,64,1,1,0,65,196,80,1,43,40,40,0,0,21,1942,48,57,0,25,0,0,0,0,0,0,5,0,0,1,1,1,3,40,70,0,68,49,0,0,0,0,258,40,0,0,66,52,54,70,11,11,0,29,25,2,0,56,3,3,35,41,0,4,6,50,29,0,75,0,43,35,5,72,10,10,0,71,29,32,31,51,30,59,50,56,21,0,0
13,0,9,0,8,10,10,4,0,10,6,3,3,39,Amir,Wilson,0,6,10,87,0,0,0,3,0,0,0,0,40,0,84,0,75,5394,0,0,90,209,40,0,0,52,38,0,27,3,3,0,69,1,1,0,79,197,83,1,55,39,39,0,0,5,1154,30,50,0,26,0,0,0,0,0,0,6,0,1,1,1,1,12,39,76,0,43,26,0,0,0,0,93,42,0,0,69,43,67,66,0,0,0,39,38,0,0,53,2,16,76,75,5,21,10,56,29,26,72,10,23,58,8,56,10,10,0,60,73,78,49,30,49,25,63,39,39,0,1
9,0,6,0,12,10,10,4,0,10,6,3,3,40,Dominique,Calhoun,1,6,10,79,0,0,0,2,0,0,0,0,40,0,80,0,37,1128,0,0,88,168,42,0,0,60,25,1,38,3,3,0,63,1,1,0,80,198,80,1,44,40,40,0,0,15,1717,56,67,0,25,0,0,0,0,0,0,5,0,1,1,1,2,3,40,76,0,85,45,0,0,0,0,234,40,0,0,69,48,64,67,6,6,0,25,30,0,0,62,2,3,33,46,5,4,10,51,29,26,72,10,45,37,0,77,10,10,0,69,33,30,31,73,31,41,57,40,30,0,1
1,0,8,0,3,10,10,4,0,10,6,3,3,43,Ryan,Whitman III,4,6,10,79,0,0,0,2,0,0,0,0,43,0,83,0,35,12304,0,0,80,116,42,0,0,73,64,1,38,3,3,0,68,2,2,0,68,199,83,0,43,64,67,0,0,21,1596,72,69,0,70,0,0,0,0,0,0,5,0,1,1,1,1,4,43,67,0,66,64,0,0,0,0,73,43,0,0,66,73,65,66,14,14,0,63,67,3,0,73,1,4,30,42,5,48,10,64,29,26,77,10,83,48,0,60,10,10,0,71,25,25,28,63,25,64,64,70,64,0,0
13,0,4,0,5,0,5,7,0,4,1,3,3,36,Josh,Calderon,2,7,4,70,0,0,0,3,0,0,0,0,36,0,85,0,65,2368,0,0,79,71,40,0,0,49,34,0,72,3,3,0,55,2,2,0,61,200,81,1,73,36,36,0,0,5,990,25,36,0,37,0,0,0,0,0,0,6,0,2,1,1,1,11,36,60,0,51,34,0,0,0,0,77,36,0,0,21,72,63,55,10,10,0,35,35,5,0,56,3,14,67,65,15,9,23,43,7,5,71,12,72,72,0,53,15,13,0,25,57,49,58,25,65,25,61,25,40,0,1
0,0,8,0,8,0,5,7,0,4,1,3,3,47,Amari,Jelks,0,7,4,84,0,3,3,1,0,0,0,0,42,0,83,0,35,8729,0,0,80,120,40,0,0,64,74,1,55,3,3,0,70,2,2,0,73,201,84,1,43,74,71,0,0,20,2188,76,77,0,69,0,0,0,0,0,0,5,0,1,1,1,1,2,47,69,0,76,69,0,0,0,0,24,42,0,0,54,80,74,74,10,10,0,74,72,2,0,61,2,2,34,38,15,34,23,57,7,5,73,12,80,61,0,61,15,13,0,69,38,32,34,72,34,57,67,72,70,0,1
4,0,5,0,10,6,10,7,0,10,6,3,3,37,Michael,George,1,10,10,71,0,0,0,2,0,0,0,0,37,0,81,0,57,2356,0,0,77,132,52,0,0,52,31,0,63,3,3,0,68,1,1,0,65,202,78,1,75,37,37,0,0,15,1941,32,37,0,25,0,0,0,0,0,0,5,0,2,1,1,2,14,37,80,0,39,21,0,0,0,0,79,37,0,0,61,71,58,48,0,0,0,31,25,1,3,58,1,18,62,74,0,9,6,49,29,0,77,0,48,76,5,48,10,10,0,57,52,56,50,38,51,25,54,25,23,0,1
11,0,0,0,5,10,5,10,0,10,9,3,3,39,Bearooz,Bentrude,0,10,10,68,0,0,0,3,0,0,0,0,39,0,69,0,61,11596,0,0,62,22,49,0,0,44,29,0,75,3,3,0,45,2,2,0,54,203,80,0,74,67,65,0,0,34,1153,28,39,0,65,0,0,0,1,9,0,5,0,2,1,1,1,8,39,56,0,39,30,0,0,0,0,120,39,1,9,37,59,61,53,11,11,0,28,31,5,0,33,5,10,75,40,21,45,21,38,15,20,74,17,109,71,0,39,20,16,0,25,53,48,71,25,76,35,61,25,33,0,0
0,0,11,0,0,10,5,10,0,10,9,3,3,39,Bryce,Terry,1,10,10,39,0,0,0,3,0,0,0,0,39,0,84,0,35,1109,1,0,65,181,40,0,0,34,79,0,41,4,4,0,39,2,2,0,79,204,81,0,39,80,77,0,0,20,279,42,42,0,77,0,0,1,0,0,0,5,0,2,2,2,1,7,39,39,0,39,37,0,0,0,1,9,39,0,0,33,79,75,69,14,14,0,79,78,1,0,25,3,7,35,25,21,4,21,25,15,20,75,17,145,38,0,39,20,16,0,33,29,28,31,25,29,25,72,37,79,0,0
5,0,10,0,8,6,10,7,0,10,6,3,3,41,Asjlin,Ford,0,10,10,83,0,0,0,2,0,0,0,0,41,0,82,0,35,1205,0,0,85,244,40,0,0,59,25,0,26,3,3,0,61,1,1,0,81,205,82,1,41,41,41,0,0,15,1836,44,55,0,25,0,0,0,0,0,0,6,0,1,1,1,1,3,41,77,0,93,45,0,0,0,0,245,41,0,0,68,41,63,65,0,0,0,25,25,3,0,67,3,3,30,42,0,4,6,52,29,0,70,0,15,33,5,63,10,10,0,79,27,26,39,60,36,67,58,50,20,0,1
9,0,3,0,1,10,2,6,2,4,7,3,3,41,Cade,Will-Tuttle,3,10,6,90,0,0,0,2,0,0,0,0,41,0,98,0,78,1315,0,0,84,43,40,0,0,55,41,0,89,3,3,0,61,1,1,0,76,206,89,1,75,41,41,0,0,17,1716,44,41,0,44,0,0,0,0,10,0,5,0,0,1,1,1,10,41,76,0,41,38,0,0,0,0,122,41,0,10,53,73,80,56,0,0,0,41,40,0,3,52,3,15,84,72,5,5,20,25,0,5,75,0,74,79,10,71,10,5,0,48,72,78,71,75,77,73,76,44,40,0,0
0,0,2,0,5,8,10,5,0,10,7,3,3,36,Jarveon,Rushing,0,8,7,79,0,0,0,3,0,0,0,0,36,0,94,0,76,10004,0,0,93,193,40,0,0,52,34,0,46,3,3,0,59,1,1,0,85,207,76,1,61,36,40,0,0,17,864,25,36,0,25,0,0,0,0,10,0,5,0,0,1,1,2,12,37,82,0,55,17,0,0,0,0,63,36,0,10,63,41,70,62,16,16,0,35,41,4,0,52,3,16,75,71,0,39,6,50,30,0,72,0,3,61,7,36,0,1,0,62,75,78,47,25,38,39,62,27,45,0,1
9,0,13,0,6,4,2,8,0,0,3,3,3,43,Popo,Erdely,0,3,2,70,0,0,0,2,0,0,0,0,43,0,83,0,61,10852,0,0,65,118,56,0,0,56,27,0,66,4,4,0,43,1,1,0,61,208,82,0,55,70,71,0,0,34,2031,25,43,0,68,0,0,0,0,1,0,5,0,0,1,1,2,8,43,70,0,43,18,0,0,0,0,203,43,0,1,52,71,57,59,0,0,0,28,25,1,0,53,1,11,66,42,21,42,21,49,8,20,77,16,94,71,0,43,10,16,0,25,51,48,72,36,66,32,57,27,22,0,0
5,0,9,0,2,5,10,2,0,7,8,3,3,37,T.J.,Durr,3,4,0,77,0,0,0,3,0,0,0,0,37,0,92,0,68,10813,0,0,84,200,40,0,0,56,41,0,69,3,3,0,56,2,2,0,63,209,79,1,77,41,41,0,0,20,441,25,37,0,25,0,0,0,0,0,0,5,0,0,1,1,2,10,37,73,0,43,27,0,0,0,0,18,37,0,0,24,77,69,53,3,3,0,40,41,2,0,63,5,13,65,62,5,42,26,25,10,11,71,9,68,69,8,45,4,10,0,31,65,69,70,25,53,25,68,32,43,0,0
10,0,10,0,6,10,5,10,0,10,9,3,3,41,Enock,Dawson,2,10,10,75,0,0,0,2,0,0,0,0,41,0,89,0,54,4383,0,0,52,221,40,0,0,37,73,0,72,4,4,0,41,2,2,0,63,210,85,0,41,73,73,0,0,34,1595,39,41,0,72,0,0,1,0,0,0,5,0,1,2,2,1,7,41,41,0,41,36,0,0,0,1,44,41,0,0,34,76,65,67,10,10,0,73,73,0,0,25,5,7,63,33,21,17,21,25,15,20,76,17,135,37,0,41,20,16,0,25,58,33,55,25,56,25,64,37,71,0,0
8,0,6,0,9,5,10,2,0,7,8,3,3,37,Dohnovan,Daniel,4,4,0,86,0,0,0,4,0,0,0,0,37,0,96,0,74,4363,0,0,87,155,40,0,0,49,49,0,71,3,3,0,46,1,1,0,76,211,84,1,82,48,48,0,0,20,160,47,37,0,37,0,0,0,0,9,0,5,0,1,1,1,2,10,37,80,0,67,53,0,0,0,0,5,37,0,9,19,77,77,47,0,0,0,48,48,4,0,60,3,15,89,70,5,17,26,36,10,11,73,9,60,80,8,47,4,10,0,50,68,68,66,75,70,25,72,47,52,0,1
8,0,11,0,8,10,5,10,0,10,9,3,3,42,Brey,Taylor,2,10,10,75,0,0,0,1,0,0,0,0,42,0,66,0,54,4454,0,0,65,218,40,0,0,52,25,1,63,4,4,0,42,2,2,0,63,212,82,1,63,66,69,0,0,34,2391,39,42,0,65,0,0,0,0,0,0,5,0,0,1,1,1,9,42,51,0,42,33,0,0,0,0,156,42,0,0,42,74,54,64,0,0,0,25,25,3,3,40,5,12,57,45,21,17,21,47,15,20,73,17,132,61,0,42,20,16,0,25,55,61,56,25,59,25,54,32,23,0,0
8,0,6,0,8,4,2,8,0,0,3,3,3,37,Elijah,Addison,2,3,2,71,0,1,1,3,0,0,0,0,37,0,69,0,62,1559,0,0,51,226,52,0,0,42,25,0,75,4,4,0,52,2,2,0,53,213,80,0,67,60,65,0,0,34,863,26,37,0,64,0,0,0,0,0,0,5,0,1,1,1,2,9,37,66,0,50,27,0,0,0,0,76,37,0,0,46,71,64,62,11,11,0,25,26,3,0,33,5,12,77,44,21,6,21,40,8,20,78,16,123,69,0,37,10,16,0,27,48,43,70,30,78,25,61,25,29,0,1
4,0,2,0,4,0,5,7,0,4,1,3,3,40,Taye,Garner,2,7,4,77,0,1,1,4,0,0,0,0,40,0,91,0,73,1075,0,0,81,237,40,0,0,54,42,0,74,3,3,0,56,1,1,0,69,214,84,1,74,42,42,0,0,20,198,34,40,0,34,0,0,0,0,0,0,5,0,0,1,1,1,11,40,67,0,44,29,0,0,0,0,15,40,0,0,53,72,71,56,0,0,0,42,42,2,3,54,1,14,72,58,15,4,23,45,7,5,72,12,64,75,0,48,15,13,0,25,70,72,76,30,70,25,73,25,42,0,1
0,0,8,0,12,6,10,7,0,10,6,3,3,41,Jarrett,Molinich,4,10,10,81,0,0,0,2,0,0,0,0,41,0,86,0,57,4409,0,0,77,154,40,0,0,48,35,0,73,3,3,0,74,1,1,0,71,215,84,1,74,41,41,0,0,15,1835,29,41,0,42,0,0,0,0,0,0,6,0,2,1,1,2,13,41,74,0,47,19,0,0,0,0,70,41,0,0,50,74,66,66,3,3,0,34,35,2,3,54,3,17,72,72,0,17,6,53,29,0,71,0,39,79,5,57,10,10,0,77,48,84,60,25,54,34,61,42,34,0,0
1,0,11,0,4,10,10,0,0,3,9,3,3,37,Malik,Hollins,2,10,7,71,0,0,0,2,0,0,0,0,37,0,72,0,62,8765,0,0,63,180,40,0,0,39,25,0,67,4,4,0,51,2,2,0,50,216,78,1,70,60,64,0,0,34,1940,25,37,0,61,0,0,0,0,0,0,5,0,2,1,1,2,8,37,69,0,37,32,0,0,0,0,195,37,0,0,41,78,58,47,12,12,0,25,31,4,0,39,3,10,65,43,24,34,15,36,20,20,75,15,80,72,0,43,21,14,0,33,51,52,55,25,67,25,55,25,35,0,0
4,0,0,0,5,8,10,5,0,10,7,3,3,38,Benny,Washington,0,8,7,72,0,0,0,3,0,0,0,0,38,0,79,0,42,9500,0,0,87,214,61,0,0,56,35,0,40,3,3,0,45,2,2,0,72,217,81,1,41,38,38,0,0,17,1460,51,52,0,38,0,0,0,0,0,0,5,0,2,1,1,2,1,38,76,0,44,68,0,0,0,0,113,38,0,0,70,57,52,50,0,0,0,35,38,2,3,66,2,1,52,49,0,37,6,58,30,0,74,0,24,36,0,61,0,1,0,64,25,29,45,73,33,77,54,75,40,0,0
10,0,10,0,3,5,10,7,0,10,6,0,0,73,Cole,Johnson,0,10,10,85,0,0,0,3,0,0,0,0,41,0,73,0,36,5393,0,0,65,41,56,0,0,53,38,0,40,3,3,0,52,1,1,0,71,218,80,0,41,41,41,0,1,0,440,58,79,0,25,0,0,0,0,0,0,5,0,2,1,1,1,0,80,72,0,56,55,0,0,0,0,25,41,0,0,56,55,66,68,11,11,0,39,40,1,0,47,1,0,22,38,4,21,6,48,29,0,73,0,50,32,5,51,10,10,0,76,27,25,25,79,25,76,68,79,39,0,1
10,0,10,0,10,10,10,0,1,3,9,13,13,44,Stody,Saffold,2,10,7,82,0,0,0,1,0,0,0,0,44,0,83,0,35,1070,1,0,61,148,40,0,0,39,74,0,40,3,3,0,55,2,2,0,65,219,88,1,44,73,74,0,0,34,2489,44,44,0,80,0,0,1,0,0,0,5,0,1,2,2,0,5,44,53,0,44,40,0,0,0,1,151,44,0,0,32,78,64,67,11,11,0,73,74,6,0,26,5,5,34,26,24,4,15,25,20,20,77,15,134,48,0,44,21,14,0,51,37,37,35,55,35,53,62,43,69,0,0
10,0,4,0,7,10,10,4,0,10,6,0,0,47,John,Giddens,0,6,10,76,0,0,0,1,0,0,0,0,65,0,73,0,37,1282,0,0,70,2,40,0,0,25,25,1,25,3,3,0,40,1,1,0,71,220,86,0,40,40,40,0,1,0,2257,41,51,0,25,0,0,0,0,0,0,5,0,0,1,1,1,15,57,40,0,40,37,0,0,0,0,42,73,0,0,23,49,68,71,0,0,0,25,25,2,0,25,3,19,31,19,5,5,10,25,29,26,71,10,47,32,0,40,10,10,0,61,25,25,25,67,38,74,65,51,16,0,0
10,0,3,0,11,5,10,4,0,10,6,0,0,69,Steven,Forsythe,0,6,10,75,0,0,0,3,0,0,0,0,36,0,69,0,36,2334,0,0,70,114,50,0,0,40,35,0,32,3,3,0,39,1,1,0,69,221,75,0,36,36,36,0,1,0,1152,45,63,0,25,0,0,0,0,1,0,5,0,1,1,1,1,0,72,66,0,58,49,0,0,0,0,69,36,0,1,47,58,55,62,0,0,0,35,35,1,0,26,3,0,29,37,5,9,10,34,29,26,75,10,66,31,0,36,10,10,0,63,25,25,25,68,25,62,58,64,39,0,1
8,0,8,0,10,5,10,2,0,7,8,3,3,45,Derrick,Moss,1,4,0,83,0,0,0,1,0,0,0,0,44,0,89,0,68,9035,0,0,71,186,40,0,0,51,46,1,62,3,3,0,57,2,2,0,57,222,81,1,66,45,44,0,0,20,2256,29,39,0,31,0,0,0,0,0,0,5,0,1,1,1,2,10,52,65,0,66,24,0,0,0,0,171,48,0,0,48,64,58,56,11,11,0,46,43,3,0,46,3,15,65,61,5,35,26,43,10,11,75,9,71,65,8,52,4,10,0,27,61,64,66,25,60,44,54,25,45,0,1
0,0,11,0,7,10,10,0,0,3,9,13,13,43,Anthony,Davis,2,10,7,71,0,0,0,1,0,0,0,0,43,0,85,0,33,520,0,0,58,21,61,0,0,38,67,1,41,3,3,0,43,2,2,0,60,223,75,0,46,67,73,0,0,34,2390,36,43,0,70,0,0,1,0,0,0,5,0,0,2,2,1,5,43,47,0,43,40,0,0,0,1,144,43,0,0,33,78,59,81,12,12,0,66,72,5,0,25,5,5,34,28,24,2,15,25,20,20,77,15,124,45,0,43,21,14,0,44,36,32,34,45,33,49,52,34,70,0,0
5,0,12,0,0,10,10,4,2,10,6,3,3,38,Izaiah,Muma,0,6,10,81,0,0,0,1,0,0,0,0,38,0,81,0,36,3350,0,0,91,132,44,0,0,55,27,1,25,3,3,0,64,1,1,0,77,224,79,1,40,38,38,0,0,15,2442,60,53,0,25,0,0,0,0,10,0,5,0,1,1,1,1,3,38,81,0,77,57,0,0,0,0,305,38,0,10,70,45,65,65,0,0,0,28,25,1,0,63,1,3,27,42,5,13,10,65,29,26,72,10,38,51,0,70,10,10,0,68,25,25,25,55,30,63,57,60,23,0,1
9,0,5,0,4,8,10,5,0,10,7,3,3,37,KaVontae,Fulse,4,8,7,78,0,0,0,2,0,0,0,0,37,0,74,0,33,10551,1,0,86,187,40,0,0,54,39,0,40,3,3,0,54,2,2,0,73,225,76,1,38,39,38,0,0,15,2111,65,51,0,48,0,0,0,0,0,0,5,0,1,1,1,1,1,37,69,0,54,70,0,0,0,0,155,37,0,0,53,61,52,52,14,14,0,39,38,0,0,58,2,1,43,45,0,41,6,45,30,0,74,0,48,43,0,55,0,1,0,54,25,36,33,61,33,62,51,70,41,0,0
10,0,5,0,0,10,10,0,0,3,9,3,3,44,Adrian,Thorpe,1,10,7,69,0,0,0,1,0,0,0,0,44,0,69,0,63,1217,1,0,55,221,40,0,0,47,37,1,61,4,4,0,44,2,2,0,65,226,85,0,56,69,66,0,0,34,2576,39,44,0,68,0,0,0,0,0,0,5,0,0,2,2,1,8,44,55,0,44,28,0,0,0,0,248,44,0,0,43,64,51,57,12,12,0,36,25,3,0,36,1,10,54,44,24,4,15,41,20,20,73,15,84,68,0,47,21,14,0,32,58,58,69,34,73,25,52,25,18,0,0
11,0,10,0,12,10,10,4,0,10,6,3,3,36,Nick,Bowen,3,6,10,77,0,0,0,4,0,0,0,0,36,0,88,0,34,2387,0,0,75,83,50,0,0,76,58,0,34,3,3,0,72,2,2,0,64,227,79,0,48,59,61,0,0,21,59,63,64,0,57,0,0,0,0,10,0,5,0,2,2,2,2,4,36,75,0,63,71,0,0,0,0,6,36,0,10,78,61,64,68,0,0,0,59,60,3,0,71,1,4,27,46,5,9,10,70,29,26,76,10,81,53,0,64,10,10,0,63,25,25,25,53,25,69,71,60,65,0,0
11,0,9,0,5,0,5,7,0,4,1,3,3,43,Jason,Zimmerman,0,7,4,86,0,0,0,3,0,0,0,0,43,0,90,0,77,4104,0,0,81,80,40,0,1,49,43,0,77,3,3,0,63,2,2,0,72,228,89,1,78,43,43,0,0,15,278,27,43,0,45,0,0,0,0,0,0,6,0,0,1,1,1,11,43,79,0,50,17,0,0,0,0,25,43,0,0,54,81,76,57,14,14,0,42,43,5,0,47,1,14,72,65,15,16,23,44,7,5,70,12,75,80,0,59,15,13,0,25,76,61,75,33,78,25,75,33,39,0,0
10,0,5,0,1,8,10,5,1,10,7,0,0,53,Devon,Collie,0,8,7,81,0,0,0,1,0,0,0,0,71,0,70,0,36,25,0,0,67,73,40,0,0,25,25,0,34,3,3,0,37,1,1,0,62,229,75,0,44,37,37,0,1,0,2441,36,37,0,25,0,0,0,0,0,0,5,0,2,1,1,2,16,48,37,0,37,39,0,0,0,0,33,70,0,0,24,47,70,62,10,10,0,25,25,5,0,25,3,20,38,27,0,0,6,25,30,0,72,0,23,34,0,41,0,1,0,63,31,30,27,39,29,61,68,27,15,0,0
5,0,13,0,5,6,10,7,0,10,6,3,3,41,Alfonso,Tankersley,0,10,10,82,0,0,0,2,0,0,0,0,41,0,81,0,23,8874,0,0,84,165,40,0,0,57,45,0,46,3,3,0,64,1,1,0,75,230,83,1,41,45,41,0,0,17,1939,67,56,0,47,0,0,0,0,0,0,5,0,1,1,1,2,1,41,72,0,62,67,0,0,0,0,142,41,0,0,58,72,61,56,0,0,0,45,41,5,0,65,1,1,32,38,0,34,6,57,29,0,73,0,47,39,5,59,10,10,0,78,48,39,33,73,32,64,57,69,39,0,1
4,0,8,0,0,6,10,7,0,10,6,3,3,36,Andrew,Liebrock,0,10,10,68,0,0,0,1,0,0,0,0,36,0,84,0,67,7506,0,0,90,152,40,0,0,43,35,0,32,3,3,0,49,1,1,0,81,231,72,1,49,36,40,0,0,15,2389,25,44,0,25,0,0,0,0,1,0,5,0,2,1,1,2,12,36,72,0,49,28,0,0,0,0,221,36,0,1,51,40,53,58,11,11,0,35,40,5,0,41,1,16,55,62,0,29,6,47,29,0,72,0,25,58,8,46,10,10,0,36,64,62,49,36,38,26,48,25,43,0,1
11,0,4,0,2,6,10,7,0,10,6,3,3,46,Leo,Johnson,0,10,10,81,0,0,0,2,0,0,0,0,41,0,88,0,55,9519,0,0,85,124,59,0,0,51,40,1,37,3,3,0,64,1,1,0,81,232,84,1,52,41,41,0,0,17,2030,25,41,0,33,0,0,0,0,0,0,5,0,1,1,1,1,12,41,76,0,44,15,0,0,0,0,183,45,0,0,59,45,55,64,0,0,0,40,40,1,3,56,2,16,57,59,0,37,6,53,29,0,70,0,6,55,8,53,10,10,0,54,65,65,52,59,53,38,55,26,39,0,1
2,0,0,0,12,6,10,7,0,10,6,3,3,41,Tevaris,Williams,0,10,10,87,0,0,0,3,0,0,0,0,41,0,72,0,41,11589,0,0,81,213,40,0,1,58,25,0,43,3,3,0,72,1,1,0,75,233,88,1,42,41,41,0,0,5,566,57,59,0,25,0,0,0,0,0,0,6,0,0,1,1,1,3,41,81,0,85,52,0,0,0,0,106,41,0,0,74,41,65,77,11,11,0,25,31,0,0,70,1,3,35,47,0,45,6,61,29,0,74,0,37,40,5,71,10,10,0,75,37,37,35,53,34,66,67,50,29,0,1
12,0,9,0,13,6,10,7,0,10,6,3,3,38,Carson,Stidham,0,10,10,77,0,0,0,3,0,0,0,0,38,0,85,0,34,10951,0,0,89,131,44,0,0,57,25,0,33,3,3,0,71,1,1,0,77,234,78,1,38,38,38,0,0,15,989,53,50,0,25,0,0,0,0,0,0,5,0,2,1,1,0,3,38,73,0,80,50,0,0,0,0,157,38,0,0,69,42,66,64,10,10,0,25,25,5,3,55,1,3,38,46,0,42,6,58,29,0,77,0,42,37,5,75,10,10,0,58,27,29,29,59,30,34,60,63,25,0,1
5,0,8,0,12,10,10,4,0,10,6,0,0,52,Brennan,Bars,0,6,10,80,0,0,0,2,0,0,0,0,59,0,61,0,35,2075,0,0,58,47,65,0,0,25,25,1,38,3,3,0,39,1,1,0,54,235,75,0,39,39,39,0,0,0,2110,26,48,0,25,0,0,0,0,3,0,5,0,1,1,1,1,15,50,53,0,39,26,0,0,0,0,33,60,0,3,15,47,59,62,0,0,0,25,25,4,0,25,3,19,36,16,5,8,10,25,29,26,73,10,53,31,0,40,10,10,0,49,25,25,25,41,25,50,62,48,14,0,0
5,0,8,0,1,6,10,7,0,10,6,3,3,40,Craig,Britton,2,10,10,80,0,0,0,3,0,0,0,0,40,0,83,0,59,1101,0,0,92,195,50,0,0,55,26,0,71,3,3,0,74,1,1,0,81,236,88,1,74,40,40,0,0,15,698,25,40,0,30,0,0,0,0,9,0,6,0,1,1,1,1,14,40,87,0,61,16,0,0,0,0,19,40,0,9,60,67,69,61,14,14,0,26,25,2,3,56,3,18,74,76,0,4,6,52,29,0,72,0,49,70,5,54,10,10,0,65,57,66,59,25,57,25,67,25,23,0,1
6,0,5,0,13,8,10,5,0,10,7,3,3,40,Brendan,Natter,0,8,7,87,0,0,0,3,0,0,0,0,40,0,91,0,70,10577,1,0,88,35,69,0,0,68,38,0,27,3,3,0,63,1,1,0,86,237,80,1,55,40,42,0,0,17,697,25,40,0,36,0,0,0,0,0,0,5,0,0,1,1,1,12,40,85,0,60,27,0,0,0,0,41,40,0,0,67,40,60,60,0,0,0,38,41,3,3,61,1,16,66,67,0,41,6,66,30,0,73,0,2,64,7,50,0,1,0,59,66,67,51,25,51,48,61,25,42,0,1
1,0,5,0,4,10,10,0,0,3,9,3,3,39,Sean,Williams,2,10,7,67,0,0,0,3,0,0,0,0,39,0,84,0,36,10922,0,0,57,60,40,0,0,35,76,0,25,4,4,0,39,2,2,0,60,238,87,0,42,75,75,0,0,34,696,25,39,0,72,0,0,1,0,0,0,5,0,1,2,2,1,6,39,51,0,39,14,0,0,0,1,40,39,0,0,35,73,66,68,11,11,0,76,75,1,0,25,5,8,34,19,24,42,15,25,20,20,77,15,113,55,0,41,21,14,0,25,25,25,25,25,28,54,68,34,76,0,1
2,0,4,0,10,4,2,8,0,0,3,3,3,40,Aaron,Scott,1,3,2,74,0,0,0,3,0,0,0,0,40,0,75,0,67,2164,1,0,69,118,40,0,0,58,25,0,73,3,3,0,45,2,2,0,68,239,80,0,74,64,63,0,0,34,862,29,40,0,67,0,0,0,0,0,0,5,0,1,2,2,1,8,40,72,0,40,17,0,0,0,0,82,40,0,0,24,75,68,57,11,11,0,25,26,1,0,57,1,11,74,43,21,8,21,39,8,20,78,16,94,74,0,42,10,16,0,25,54,46,71,30,74,25,67,31,26,0,0
5,0,12,0,11,10,5,10,2,10,9,3,3,37,Kight,Jones,2,10,10,71,0,0,0,1,0,0,0,0,37,0,86,0,43,10878,0,0,52,221,40,0,0,34,67,1,56,4,4,0,37,2,2,0,51,240,73,0,42,67,75,0,0,34,2604,39,38,0,68,0,0,1,0,0,0,5,0,0,2,2,1,6,37,37,0,37,40,0,0,0,1,179,37,0,0,33,73,61,61,11,11,0,66,74,2,0,25,5,8,53,35,21,42,21,25,15,20,74,17,142,59,0,37,20,16,0,41,47,47,42,38,42,45,56,28,77,0,0
